ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
2216,1058,Dec-16,Pull-up Bars,Pro 824,Pull-up Bars designed for sports and outdoor activities.,Red,One Size,Standard,200.3,270.46
2217,1059,Dec-17,Medicine Balls,Elite 757,Medicine Balls designed for sports and outdoor activities.,White,38,Premium,191.2,366.64
2218,1060,Dec-18,Basketball Shoes,Core 831,Basketball Shoes designed for sports and outdoor activities.,Orange,42,Premium,99.76,178.33
2219,1061,Dec-19,Basketballs,Core 890,Basketballs designed for sports and outdoor activities.,Blue,L,Pro,462.22,605.05
2220,1062,Dec-20,Basketball Hoops,Active 510,Basketball Hoops designed for sports and outdoor activities.,Navy,38,Premium,406.63,737.34
2221,1063,Dec-21,Compression Wear,Pro 420,Compression Wear designed for sports and outdoor activities.,Grey,L,Elite,471.96,657.21
2222,1064,Dec-22,Basketball Training Equipment,X 429,Basketball Training Equipment designed for sports and outdoor activities.,White,L,Sport,293,567.02
2223,1065,Dec-23,Table Tennis Bats,Core 135,Table Tennis Bats designed for sports and outdoor activities.,Red,One Size,Pro,482.77,849.94
2224,1066,Dec-24,Table Tennis Balls,Elite 764,Table Tennis Balls designed for sports and outdoor activities.,Blue,S,Standard,53.67,105.01
2225,1067,Dec-25,Table Tennis Tables,Elite 443,Table Tennis Tables designed for sports and outdoor activities.,Black,M,Elite,272.89,542.85
2226,1068,Dec-26,Table Tennis Nets,Pro 189,Table Tennis Nets designed for sports and outdoor activities.,Grey,L,Sport,238.05,362.83
2227,1069,Dec-27,Table Tennis Covers,X 268,Table Tennis Covers designed for sports and outdoor activities.,Grey,One Size,Standard,5.47,9.87
2228,1070,Dec-28,Frisbees,X 143,Frisbees designed for sports and outdoor activities.,Green,S,Premium,497.06,936.09
2229,1071,Dec-29,Skipping Ropes,Active 678,Skipping Ropes designed for sports and outdoor activities.,White,One Size,Elite,146.77,226.14
2230,1072,Dec-30,Binoculars,Core 525,Binoculars designed for sports and outdoor activities.,White,40,Elite,191,319.04
2231,1073,Dec-31,Water Bottles,Active 379,Water Bottles designed for sports and outdoor activities.,White,XL,Standard,221.17,315.23
2232,1074,Dec-32,Headlamps,Active 507,Headlamps designed for sports and outdoor activities.,Grey,42,Sport,168.43,265.47
2233,1075,Dec-33,Ski Jackets,Core 582,Ski Jackets designed for sports and outdoor activities.,White,M,Premium,325.6,501.74
2234,1076,Dec-34,Ski Pants,Active 882,Ski Pants designed for sports and outdoor activities.,Navy,42,Premium,320.74,590.41
2235,1077,Dec-35,Ski Gloves,Pro 291,Ski Gloves designed for sports and outdoor activities.,Blue,44,Premium,428.04,828.71
2236,1078,Dec-36,Snow Boots,X 617,Snow Boots designed for sports and outdoor activities.,Navy,XL,Sport,475,930.77
2237,1079,Dec-37,Thermal Wear,Core 594,Thermal Wear designed for sports and outdoor activities.,Navy,40,Premium,497.77,947.97
2238,1001,Dec-38,Running Shoes,Active 188,Running Shoes designed for sports and outdoor activities.,Red,M,Premium,319.18,623.36
2239,1002,Dec-39,Running Apparel,Core 383,Running Apparel designed for sports and outdoor activities.,Black,S,Elite,259.89,379.82
2240,1003,Dec-40,Hydration Packs,X 784,Hydration Packs designed for sports and outdoor activities.,Navy,40,Premium,327.89,637.06
2241,1004,Dec-41,GPS Watches,Core 242,GPS Watches designed for sports and outdoor activities.,Navy,XS,Standard,392.77,555.83
2242,1005,Dec-42,Running Socks,Pro 632,Running Socks designed for sports and outdoor activities.,Navy,One Size,Elite,161.83,268.65
2243,1006,Dec-43,Hiking Shoes,Pro 492,Hiking Shoes designed for sports and outdoor activities.,Grey,One Size,Elite,489.76,639.82
2244,1007,Dec-44,Trekking Backpacks,Pro 765,Trekking Backpacks designed for sports and outdoor activities.,Grey,XS,Pro,334.84,658.02
2245,1008,Dec-45,Trekking Poles,Pro 237,Trekking Poles designed for sports and outdoor activities.,Navy,M,Elite,87.02,161.94
2246,1009,Dec-46,Camping Tents,Plus 673,Camping Tents designed for sports and outdoor activities.,Grey,42,Premium,474.51,706.58
2247,1010,Dec-47,Sleeping Bags,Core 883,Sleeping Bags designed for sports and outdoor activities.,Blue,38,Pro,116.7,195.18
2248,1011,Dec-48,Mountain Bikes,Plus 313,Mountain Bikes designed for sports and outdoor activities.,Blue,S,Standard,456.23,727.31
2249,1012,Dec-49,Road Bikes,Plus 158,Road Bikes designed for sports and outdoor activities.,Green,XL,Standard,89.44,154.84
2250,1013,Dec-50,Cycling Helmets,Pro 865,Cycling Helmets designed for sports and outdoor activities.,Orange,XS,Pro,303.87,592.67
2251,1014,Dec-51,Cycling Jerseys,Active 278,Cycling Jerseys designed for sports and outdoor activities.,White,L,Sport,16.8,27.54
2252,1015,Dec-52,Bike Accessories,Core 590,Bike Accessories designed for sports and outdoor activities.,Orange,S,Pro,380.73,555.88
2253,1016,Dec-53,Dumbbells,X 184,Dumbbells designed for sports and outdoor activities.,Black,XS,Pro,53.63,101.44
2254,1017,Dec-54,Resistance Bands,Core 552,Resistance Bands designed for sports and outdoor activities.,Green,40,Standard,136.48,255.76
2255,1018,Dec-55,Yoga Mats,X 210,Yoga Mats designed for sports and outdoor activities.,Red,XS,Premium,142.7,219.16
2256,1019,Dec-56,Kettlebells,Plus 185,Kettlebells designed for sports and outdoor activities.,White,M,Elite,37.6,73.95
2257,1020,Dec-57,Exercise Bikes,Active 578,Exercise Bikes designed for sports and outdoor activities.,Green,38,Sport,66.36,117.95
2258,1021,Dec-58,Football Boots,Plus 826,Football Boots designed for sports and outdoor activities.,Green,XS,Sport,335.19,505.07
2259,1022,Dec-59,Footballs,Plus 479,Footballs designed for sports and outdoor activities.,Red,44,Pro,161.98,251.12
2260,1023,Dec-60,Goalkeeper Gloves,Elite 604,Goalkeeper Gloves designed for sports and outdoor activities.,Orange,XS,Pro,323.54,477.38
2261,1024,Dec-61,Shin Guards,Plus 306,Shin Guards designed for sports and outdoor activities.,Blue,M,Pro,499.58,990.7
2262,1025,Dec-62,Training Cones,Plus 694,Training Cones designed for sports and outdoor activities.,Red,One Size,Pro,399.79,728.66
2263,1026,Dec-63,Cricket Bats,Plus 867,Cricket Bats designed for sports and outdoor activities.,White,38,Pro,484.54,822.31
2264,1027,Dec-64,Cricket Balls,Core 206,Cricket Balls designed for sports and outdoor activities.,Navy,42,Pro,80.29,106.62
2265,1028,Dec-65,Batting Gloves,Plus 659,Batting Gloves designed for sports and outdoor activities.,Red,M,Elite,497.19,911.52
2266,1029,Dec-66,Batting Pads,Elite 474,Batting Pads designed for sports and outdoor activities.,Blue,38,Sport,293.07,489.82
2267,1030,Dec-67,Cricket Helmets,X 409,Cricket Helmets designed for sports and outdoor activities.,Grey,L,Elite,85.83,142.78
2268,1031,Dec-68,Badminton Rackets,Elite 612,Badminton Rackets designed for sports and outdoor activities.,Navy,XL,Standard,153.69,230.98
2269,1032,Dec-69,Shuttlecocks,Plus 644,Shuttlecocks designed for sports and outdoor activities.,Orange,42,Sport,37.86,71.33
2270,1033,Dec-70,Grip Tapes,Plus 681,Grip Tapes designed for sports and outdoor activities.,Blue,40,Standard,496.7,741.83
2271,1034,Dec-71,Badminton Shoes,Plus 184,Badminton Shoes designed for sports and outdoor activities.,Orange,44,Elite,73.19,117.23
2272,1035,Dec-72,Badminton Net Sets,Active 841,Badminton Net Sets designed for sports and outdoor activities.,Red,40,Standard,25.12,46.88
2273,1036,Dec-73,Tennis Rackets,Elite 783,Tennis Rackets designed for sports and outdoor activities.,Grey,42,Premium,257.03,410.07
2274,1037,Dec-74,Tennis Balls,Plus 727,Tennis Balls designed for sports and outdoor activities.,Black,M,Premium,44.18,80.46
2275,1038,Dec-75,Tennis Shoes,Plus 289,Tennis Shoes designed for sports and outdoor activities.,Red,44,Premium,165.84,303.97
2276,1039,Dec-76,Tennis Bags,Elite 533,Tennis Bags designed for sports and outdoor activities.,White,38,Premium,458.27,648.1
2277,1040,Dec-77,Tennis Strings,Elite 374,Tennis Strings designed for sports and outdoor activities.,Green,M,Sport,259.24,515.8
2278,1041,Dec-78,Swimwear,Pro 347,Swimwear designed for sports and outdoor activities.,Red,38,Pro,287.73,535.53
2279,1042,Dec-79,Swimming Goggles,Pro 876,Swimming Goggles designed for sports and outdoor activities.,White,XL,Sport,13.82,20.09
2280,1043,Dec-80,Swim Caps,Active 386,Swim Caps designed for sports and outdoor activities.,White,XL,Pro,360.04,548.55
2281,1044,Dec-81,Kickboards,Elite 629,Kickboards designed for sports and outdoor activities.,Green,One Size,Elite,334.93,574.66
2282,1045,Dec-82,Swimming Fins,Core 556,Swimming Fins designed for sports and outdoor activities.,Green,38,Elite,461.39,663.58
2283,1046,Dec-83,Camping Chairs,Core 181,Camping Chairs designed for sports and outdoor activities.,Grey,M,Pro,433.22,684.16
2284,1047,Dec-84,Camping Lanterns,Plus 655,Camping Lanterns designed for sports and outdoor activities.,White,S,Standard,365.24,640.86
2285,1048,Dec-85,Cooler Boxes,Elite 311,Cooler Boxes designed for sports and outdoor activities.,Navy,M,Elite,321.52,485.09
2286,1049,Dec-86,Camping Cooking Sets,Core 711,Camping Cooking Sets designed for sports and outdoor activities.,Navy,XL,Elite,483.89,788.76
2287,1050,Dec-87,Hiking Backpacks,X 234,Hiking Backpacks designed for sports and outdoor activities.,Grey,40,Sport,491.95,871.06
2288,1051,Dec-88,Yoga Blocks,Pro 635,Yoga Blocks designed for sports and outdoor activities.,Blue,XL,Sport,35.43,69.91
2289,1052,Dec-89,Yoga Straps,Plus 132,Yoga Straps designed for sports and outdoor activities.,White,40,Sport,122.09,228.43
2290,1053,Dec-90,Meditation Cushions,Pro 780,Meditation Cushions designed for sports and outdoor activities.,Grey,XS,Sport,154.65,255.79
2291,1054,Dec-91,Foam Rollers,Elite 849,Foam Rollers designed for sports and outdoor activities.,Blue,S,Pro,264.52,517.99
2292,1055,Dec-92,Weight Plates,Elite 141,Weight Plates designed for sports and outdoor activities.,Orange,44,Sport,309.12,566.4
2293,1056,Dec-93,Barbells,Active 192,Barbells designed for sports and outdoor activities.,Red,L,Pro,169.96,335.59
2294,1057,Dec-94,Weight Benches,Pro 531,Weight Benches designed for sports and outdoor activities.,Navy,42,Standard,411.34,790.24
2295,1058,Dec-95,Pull-up Bars,Plus 145,Pull-up Bars designed for sports and outdoor activities.,Green,L,Sport,186.88,278.04
2296,1059,Dec-96,Medicine Balls,Pro 424,Medicine Balls designed for sports and outdoor activities.,Green,40,Elite,216.79,323.03
2297,1060,Dec-97,Basketball Shoes,X 726,Basketball Shoes designed for sports and outdoor activities.,Green,38,Standard,21.71,34.55
2298,1061,Dec-98,Basketballs,Active 654,Basketballs designed for sports and outdoor activities.,Red,42,Sport,95.44,165.68
2299,1062,Dec-99,Basketball Hoops,Active 521,Basketball Hoops designed for sports and outdoor activities.,Green,M,Sport,256.63,396.51
2300,1063,Dec-00,Compression Wear,Plus 556,Compression Wear designed for sports and outdoor activities.,Grey,40,Sport,136.67,201.72
2301,1064,Dec-01,Basketball Training Equipment,Plus 857,Basketball Training Equipment designed for sports and outdoor activities.,Green,XS,Standard,365.74,699.95
2302,1065,Dec-02,Table Tennis Bats,X 172,Table Tennis Bats designed for sports and outdoor activities.,Blue,S,Elite,170.37,320.08
2303,1066,Dec-03,Table Tennis Balls,X 155,Table Tennis Balls designed for sports and outdoor activities.,Black,S,Standard,233.93,311.66
2304,1067,Dec-04,Table Tennis Tables,Pro 808,Table Tennis Tables designed for sports and outdoor activities.,Red,XS,Premium,404.99,634.04
2305,1068,Dec-05,Table Tennis Nets,Core 604,Table Tennis Nets designed for sports and outdoor activities.,Green,M,Elite,288.02,530.04
2306,1069,Dec-06,Table Tennis Covers,Plus 412,Table Tennis Covers designed for sports and outdoor activities.,Navy,S,Elite,357.37,577.06
2307,1070,Dec-07,Frisbees,Plus 168,Frisbees designed for sports and outdoor activities.,Navy,40,Standard,201.64,347.28
2308,1071,Dec-08,Skipping Ropes,Elite 610,Skipping Ropes designed for sports and outdoor activities.,White,42,Pro,499.8,742.55
2309,1072,Dec-09,Binoculars,Pro 145,Binoculars designed for sports and outdoor activities.,Blue,38,Standard,254.42,377.32
2310,1073,Dec-10,Water Bottles,Active 468,Water Bottles designed for sports and outdoor activities.,Navy,42,Premium,355.7,705.31
2311,1074,Dec-11,Headlamps,Core 241,Headlamps designed for sports and outdoor activities.,White,S,Elite,340.61,598.65
2312,1075,Dec-12,Ski Jackets,X 774,Ski Jackets designed for sports and outdoor activities.,White,One Size,Premium,93.34,149.41
2313,1076,Dec-13,Ski Pants,Pro 791,Ski Pants designed for sports and outdoor activities.,Orange,44,Standard,330.34,622.51
2314,1077,Dec-14,Ski Gloves,Core 872,Ski Gloves designed for sports and outdoor activities.,Blue,42,Standard,418.51,689.47
2315,1078,Dec-15,Snow Boots,Elite 753,Snow Boots designed for sports and outdoor activities.,Black,One Size,Premium,63.14,121.39
2316,1079,Dec-16,Thermal Wear,X 110,Thermal Wear designed for sports and outdoor activities.,Green,42,Pro,336.98,526.21
2317,1001,Dec-17,Running Shoes,Plus 495,Running Shoes designed for sports and outdoor activities.,Blue,One Size,Premium,104.82,178.72
2318,1002,Dec-18,Running Apparel,Pro 790,Running Apparel designed for sports and outdoor activities.,Red,38,Sport,47.54,86.06
2319,1003,Dec-19,Hydration Packs,Elite 531,Hydration Packs designed for sports and outdoor activities.,Grey,S,Pro,252.47,394.02
2320,1004,Dec-20,GPS Watches,Elite 205,GPS Watches designed for sports and outdoor activities.,Grey,XS,Elite,429.71,821.77
2321,1005,Dec-21,Running Socks,Core 156,Running Socks designed for sports and outdoor activities.,White,40,Sport,89.85,158.96
2322,1006,Dec-22,Hiking Shoes,Active 538,Hiking Shoes designed for sports and outdoor activities.,Red,44,Premium,290.76,467.25
2323,1007,Dec-23,Trekking Backpacks,Plus 382,Trekking Backpacks designed for sports and outdoor activities.,White,S,Sport,89.48,171.45
2324,1008,Dec-24,Trekking Poles,Core 639,Trekking Poles designed for sports and outdoor activities.,Navy,38,Sport,80.65,141.15
2325,1009,Dec-25,Camping Tents,Plus 624,Camping Tents designed for sports and outdoor activities.,Black,M,Standard,497.85,684.56
2326,1010,Dec-26,Sleeping Bags,Plus 705,Sleeping Bags designed for sports and outdoor activities.,Black,XL,Premium,298.21,578.76
2327,1011,Dec-27,Mountain Bikes,Plus 812,Mountain Bikes designed for sports and outdoor activities.,Navy,38,Elite,447.67,686.7
2328,1012,Dec-28,Road Bikes,Core 488,Road Bikes designed for sports and outdoor activities.,Blue,40,Pro,64.71,126.27
2329,1013,Dec-29,Cycling Helmets,X 123,Cycling Helmets designed for sports and outdoor activities.,White,S,Standard,159.49,253.65
2330,1014,Dec-30,Cycling Jerseys,Active 119,Cycling Jerseys designed for sports and outdoor activities.,Blue,L,Standard,98.3,166.33
2331,1015,Dec-31,Bike Accessories,Pro 722,Bike Accessories designed for sports and outdoor activities.,Red,XS,Pro,81.11,116.71
2332,1016,Dec-32,Dumbbells,X 862,Dumbbells designed for sports and outdoor activities.,Black,S,Elite,67.88,118.35
2333,1017,Dec-33,Resistance Bands,Plus 634,Resistance Bands designed for sports and outdoor activities.,White,44,Premium,85.15,140.22
2334,1018,Dec-34,Yoga Mats,Pro 697,Yoga Mats designed for sports and outdoor activities.,Navy,L,Elite,301.17,573.41
2335,1019,Dec-35,Kettlebells,Core 186,Kettlebells designed for sports and outdoor activities.,Navy,44,Standard,424.59,699.58
2336,1020,Dec-36,Exercise Bikes,Active 669,Exercise Bikes designed for sports and outdoor activities.,Red,XS,Standard,188.25,367.48
2337,1021,Dec-37,Football Boots,X 289,Football Boots designed for sports and outdoor activities.,Grey,M,Pro,312.83,533.79
2338,1022,Dec-38,Footballs,Pro 862,Footballs designed for sports and outdoor activities.,Black,42,Standard,220.98,325.03
2339,1023,Dec-39,Goalkeeper Gloves,Pro 193,Goalkeeper Gloves designed for sports and outdoor activities.,Black,S,Premium,304.84,433.22
2340,1024,Dec-40,Shin Guards,X 172,Shin Guards designed for sports and outdoor activities.,Orange,40,Sport,8.81,11.68
2341,1025,Dec-41,Training Cones,Core 127,Training Cones designed for sports and outdoor activities.,Grey,L,Standard,23.23,39.96
2342,1026,Dec-42,Cricket Bats,Core 270,Cricket Bats designed for sports and outdoor activities.,Orange,XL,Elite,184.93,366.06
2343,1027,Dec-43,Cricket Balls,Active 887,Cricket Balls designed for sports and outdoor activities.,Green,XS,Premium,300.33,482.72
2344,1028,Dec-44,Batting Gloves,Pro 691,Batting Gloves designed for sports and outdoor activities.,Green,44,Sport,283.3,525.58
2345,1029,Dec-45,Batting Pads,Plus 687,Batting Pads designed for sports and outdoor activities.,White,XL,Standard,91.69,181.72
2346,1030,Dec-46,Cricket Helmets,Active 874,Cricket Helmets designed for sports and outdoor activities.,Orange,42,Premium,292.22,387.4
2347,1031,Dec-47,Badminton Rackets,Pro 836,Badminton Rackets designed for sports and outdoor activities.,White,XS,Sport,131.1,240.7
2348,1032,Dec-48,Shuttlecocks,X 711,Shuttlecocks designed for sports and outdoor activities.,Grey,40,Pro,334.14,627.73
2349,1033,Dec-49,Grip Tapes,Core 268,Grip Tapes designed for sports and outdoor activities.,White,S,Premium,401.37,554.89
2350,1034,Dec-50,Badminton Shoes,Pro 142,Badminton Shoes designed for sports and outdoor activities.,Orange,XS,Elite,272.71,511.16
2351,1035,Dec-51,Badminton Net Sets,Core 326,Badminton Net Sets designed for sports and outdoor activities.,White,38,Standard,252.88,354.75
2352,1036,Dec-52,Tennis Rackets,Elite 740,Tennis Rackets designed for sports and outdoor activities.,Grey,S,Elite,415.92,626.96
2353,1037,Dec-53,Tennis Balls,Elite 546,Tennis Balls designed for sports and outdoor activities.,Red,L,Premium,499.41,785.42
2354,1038,Dec-54,Tennis Shoes,X 315,Tennis Shoes designed for sports and outdoor activities.,Grey,XL,Elite,117.43,221.63
2355,1039,Dec-55,Tennis Bags,X 656,Tennis Bags designed for sports and outdoor activities.,White,M,Pro,75.95,122.46
2356,1040,Dec-56,Tennis Strings,Pro 668,Tennis Strings designed for sports and outdoor activities.,Black,S,Elite,38.21,66.49
2357,1041,Dec-57,Swimwear,Core 188,Swimwear designed for sports and outdoor activities.,Grey,S,Elite,384.75,618.63
2358,1042,Dec-58,Swimming Goggles,X 883,Swimming Goggles designed for sports and outdoor activities.,White,M,Premium,17.04,25.77
2359,1043,Dec-59,Swim Caps,Pro 711,Swim Caps designed for sports and outdoor activities.,Navy,44,Sport,73.26,140.49
2360,1044,Dec-60,Kickboards,Elite 153,Kickboards designed for sports and outdoor activities.,White,44,Premium,497.22,744.9
2361,1045,Dec-61,Swimming Fins,Active 360,Swimming Fins designed for sports and outdoor activities.,Red,42,Sport,37.34,74.53
2362,1046,Dec-62,Camping Chairs,X 115,Camping Chairs designed for sports and outdoor activities.,Navy,44,Premium,497.17,965.82
2363,1047,Dec-63,Camping Lanterns,Elite 105,Camping Lanterns designed for sports and outdoor activities.,Grey,38,Pro,483.09,851.69
2364,1048,Dec-64,Cooler Boxes,Active 706,Cooler Boxes designed for sports and outdoor activities.,Black,42,Sport,210.84,326.39
2365,1049,Dec-65,Camping Cooking Sets,Plus 210,Camping Cooking Sets designed for sports and outdoor activities.,Grey,42,Pro,462.35,773.06
2366,1050,Dec-66,Hiking Backpacks,Pro 652,Hiking Backpacks designed for sports and outdoor activities.,Navy,XL,Premium,200.91,365.93
2367,1051,Dec-67,Yoga Blocks,Plus 116,Yoga Blocks designed for sports and outdoor activities.,Grey,S,Elite,276.73,493.77
2368,1052,Dec-68,Yoga Straps,Core 604,Yoga Straps designed for sports and outdoor activities.,Grey,M,Standard,269.92,455.59
2369,1053,Dec-69,Meditation Cushions,Plus 294,Meditation Cushions designed for sports and outdoor activities.,Black,38,Pro,297.62,533.43
2370,1054,Dec-70,Foam Rollers,X 696,Foam Rollers designed for sports and outdoor activities.,Green,38,Premium,378.55,728.96
2371,1055,Dec-71,Weight Plates,Core 548,Weight Plates designed for sports and outdoor activities.,Navy,44,Elite,488.88,821.23
2372,1056,Dec-72,Barbells,Core 493,Barbells designed for sports and outdoor activities.,White,XS,Elite,108.17,157.52
2373,1057,Dec-73,Weight Benches,Core 521,Weight Benches designed for sports and outdoor activities.,Orange,44,Pro,238.87,451.26
2374,1058,Dec-74,Pull-up Bars,Plus 431,Pull-up Bars designed for sports and outdoor activities.,Orange,L,Standard,329.8,525.97
2375,1059,Dec-75,Medicine Balls,Elite 389,Medicine Balls designed for sports and outdoor activities.,Blue,38,Sport,59.51,82.05
2376,1060,Dec-76,Basketball Shoes,Elite 480,Basketball Shoes designed for sports and outdoor activities.,Navy,XS,Elite,239.23,312.28
2377,1061,Dec-77,Basketballs,X 311,Basketballs designed for sports and outdoor activities.,Orange,S,Pro,234.47,347.17
2378,1062,Dec-78,Basketball Hoops,Active 411,Basketball Hoops designed for sports and outdoor activities.,Grey,XL,Sport,300.24,470.49
2379,1063,Dec-79,Compression Wear,X 638,Compression Wear designed for sports and outdoor activities.,Orange,L,Elite,418.71,624.57
2380,1064,Dec-80,Basketball Training Equipment,X 891,Basketball Training Equipment designed for sports and outdoor activities.,Blue,XS,Pro,295.59,468.94
2381,1065,Dec-81,Table Tennis Bats,Active 298,Table Tennis Bats designed for sports and outdoor activities.,Red,S,Standard,84.33,111.9
2382,1066,Dec-82,Table Tennis Balls,X 875,Table Tennis Balls designed for sports and outdoor activities.,Black,XL,Pro,444.21,685.41
2383,1067,Dec-83,Table Tennis Tables,Plus 272,Table Tennis Tables designed for sports and outdoor activities.,Green,38,Pro,204.13,398.21
2384,1068,Dec-84,Table Tennis Nets,Active 694,Table Tennis Nets designed for sports and outdoor activities.,Grey,XL,Pro,53.22,81.44
2385,1069,Dec-85,Table Tennis Covers,X 828,Table Tennis Covers designed for sports and outdoor activities.,Blue,44,Pro,284.46,531.19
2386,1070,Dec-86,Frisbees,Plus 636,Frisbees designed for sports and outdoor activities.,Green,XS,Premium,297.08,412.15
2387,1071,Dec-87,Skipping Ropes,Plus 143,Skipping Ropes designed for sports and outdoor activities.,Red,L,Pro,491.75,969.46
2388,1072,Dec-88,Binoculars,Pro 815,Binoculars designed for sports and outdoor activities.,Red,42,Sport,108.94,172.76
2389,1073,Dec-89,Water Bottles,Elite 207,Water Bottles designed for sports and outdoor activities.,Green,XL,Premium,352.1,553.44
2390,1074,Dec-90,Headlamps,Pro 869,Headlamps designed for sports and outdoor activities.,Black,38,Premium,250.87,488.41
2391,1075,Dec-91,Ski Jackets,X 560,Ski Jackets designed for sports and outdoor activities.,Orange,L,Premium,170.69,258.28
2392,1076,Dec-92,Ski Pants,Core 681,Ski Pants designed for sports and outdoor activities.,Black,44,Pro,305.38,440.16
2393,1077,Dec-93,Ski Gloves,X 471,Ski Gloves designed for sports and outdoor activities.,White,40,Standard,100.3,174.72
2394,1078,Dec-94,Snow Boots,Plus 163,Snow Boots designed for sports and outdoor activities.,Navy,L,Sport,464.62,711.11
2395,1079,Dec-95,Thermal Wear,Core 479,Thermal Wear designed for sports and outdoor activities.,Blue,40,Pro,251.09,423.3
2396,1001,Dec-96,Running Shoes,Core 357,Running Shoes designed for sports and outdoor activities.,Green,One Size,Pro,134.99,186.46
2397,1002,Dec-97,Running Apparel,Pro 596,Running Apparel designed for sports and outdoor activities.,Green,XL,Standard,230.74,363.94
2398,1003,Dec-98,Hydration Packs,X 770,Hydration Packs designed for sports and outdoor activities.,Red,M,Pro,47.91,84.19
2399,1004,Dec-99,GPS Watches,Pro 629,GPS Watches designed for sports and outdoor activities.,Navy,44,Sport,396.57,761.61
2400,1005,Dec-00,Running Socks,X 887,Running Socks designed for sports and outdoor activities.,Green,L,Sport,43.31,72.48
2401,1006,Dec-01,Hiking Shoes,Pro 628,Hiking Shoes designed for sports and outdoor activities.,Navy,One Size,Sport,178.03,313.66
2402,1007,Dec-02,Trekking Backpacks,X 496,Trekking Backpacks designed for sports and outdoor activities.,Red,44,Pro,454.03,653.94
2403,1008,Dec-03,Trekking Poles,Active 809,Trekking Poles designed for sports and outdoor activities.,Navy,42,Premium,53.33,93.61
2404,1009,Dec-04,Camping Tents,X 848,Camping Tents designed for sports and outdoor activities.,Black,L,Standard,290.68,398.71
2405,1010,Dec-05,Sleeping Bags,Elite 448,Sleeping Bags designed for sports and outdoor activities.,Grey,S,Premium,390.31,753.66
2406,1011,Dec-06,Mountain Bikes,X 417,Mountain Bikes designed for sports and outdoor activities.,Black,S,Sport,323.92,603.32
2407,1012,Dec-07,Road Bikes,Core 152,Road Bikes designed for sports and outdoor activities.,Black,42,Premium,265.38,393.07
2408,1013,Dec-08,Cycling Helmets,X 716,Cycling Helmets designed for sports and outdoor activities.,Blue,M,Elite,263.3,359.62
2409,1014,Dec-09,Cycling Jerseys,X 579,Cycling Jerseys designed for sports and outdoor activities.,Navy,XL,Elite,132.93,247.05
2410,1015,Dec-10,Bike Accessories,Elite 158,Bike Accessories designed for sports and outdoor activities.,Grey,38,Pro,278.7,464.82
2411,1016,Dec-11,Dumbbells,Core 602,Dumbbells designed for sports and outdoor activities.,Green,44,Pro,143.09,192.37
2412,1017,Dec-12,Resistance Bands,Elite 525,Resistance Bands designed for sports and outdoor activities.,White,XL,Pro,414.79,631.96
2413,1018,Dec-13,Yoga Mats,X 445,Yoga Mats designed for sports and outdoor activities.,White,One Size,Elite,474,793.2
2414,1019,Dec-14,Kettlebells,Elite 658,Kettlebells designed for sports and outdoor activities.,Orange,L,Standard,348.81,521.23
2415,1020,Dec-15,Exercise Bikes,Elite 558,Exercise Bikes designed for sports and outdoor activities.,Navy,XL,Pro,218.7,414.16
2416,1021,Dec-16,Football Boots,X 564,Football Boots designed for sports and outdoor activities.,Grey,S,Standard,240.08,347.71
2417,1022,Dec-17,Footballs,Pro 812,Footballs designed for sports and outdoor activities.,Green,One Size,Premium,17.54,30.02
2418,1023,Dec-18,Goalkeeper Gloves,Core 673,Goalkeeper Gloves designed for sports and outdoor activities.,White,S,Sport,92.65,181.94
2419,1024,Dec-19,Shin Guards,Plus 774,Shin Guards designed for sports and outdoor activities.,White,XS,Elite,116.95,165.37
2420,1025,Dec-20,Training Cones,X 419,Training Cones designed for sports and outdoor activities.,Black,40,Premium,468.01,670.92
2421,1026,Dec-21,Cricket Bats,Elite 305,Cricket Bats designed for sports and outdoor activities.,Green,S,Sport,408.68,634.9
2422,1027,Dec-22,Cricket Balls,X 437,Cricket Balls designed for sports and outdoor activities.,Red,XL,Standard,477.27,857.52
2423,1028,Dec-23,Batting Gloves,Core 434,Batting Gloves designed for sports and outdoor activities.,Green,S,Pro,116.92,229.35
2424,1029,Dec-24,Batting Pads,Core 583,Batting Pads designed for sports and outdoor activities.,Navy,38,Sport,71.05,139.57
2425,1030,Dec-25,Cricket Helmets,Elite 670,Cricket Helmets designed for sports and outdoor activities.,Red,One Size,Standard,192.73,281.49
2426,1031,Dec-26,Badminton Rackets,Core 465,Badminton Rackets designed for sports and outdoor activities.,Navy,38,Premium,24.75,48.05
2427,1032,Dec-27,Shuttlecocks,Pro 608,Shuttlecocks designed for sports and outdoor activities.,Green,One Size,Sport,43.33,69.61
2428,1033,Dec-28,Grip Tapes,Active 266,Grip Tapes designed for sports and outdoor activities.,Orange,XL,Sport,258.54,406.98
2429,1034,Dec-29,Badminton Shoes,Pro 506,Badminton Shoes designed for sports and outdoor activities.,Grey,One Size,Sport,162.84,320.08
2430,1035,Dec-30,Badminton Net Sets,Core 523,Badminton Net Sets designed for sports and outdoor activities.,Red,44,Elite,176.37,314.97
2431,1036,Dec-31,Tennis Rackets,X 231,Tennis Rackets designed for sports and outdoor activities.,Blue,XL,Pro,458.97,869
2432,1037,Dec-32,Tennis Balls,Plus 174,Tennis Balls designed for sports and outdoor activities.,Grey,44,Standard,344.81,596.37
